Name,Short description,Gender,Country,Occupation,Birth year,Death year
George Washington,1st president of the United States (1732–1799),Male,United States of America; Kingdom of Great Britain,Politician,1732,1799
Douglas Adams,English writer and humorist,Male,United Kingdom,Artist,1952,2001
Abraham Lincoln,16th president of the United States (1809-1865),Male,United States of America,Politician,1809,1865
Wolfgang Amadeus Mozart,Austrian composer of the Classical period,Male,Archduchy of Austria; Archbishopric of Salzburg,Artist,1756,1791
Ludwig van Beethoven,German classical and romantic composer,Male,Holy Roman Empire; Austrian Empire,Artist,1770,1827
Jean-François Champollion,French classical scholar,Male,Kingdom of France; First French Empire,Egyptologist,1790,1832
Paul Morand,French writer,Male,France,Artist,1888,1976
Claude Monet,French impressionist painter (1840-1926),Male,France,Artist,1840,1926
Diego Velázquez,Spanish painter (1599-1660),Male,Spain,Artist,1599,1660
El Greco,"Greek painter; sculptor and architect",Male,Spain; Republic of Venice,Artist,1541,1614
Elvis Presley,American singer and actor (1935–1977),Male,United States of America,Artist,1935,1977
Galileo Galilei,"Italian mathematician, physicist, philosopher and astronomer",Male,Grand Duchy of Tuscany; Duchy of Florence,Astronomer
Patricio Aylwin,Chilean politician and former president (1918-2016),Male,Chile,Politician,1918,2016
Louis IX of France,king of France,Male,France,Ruler,1214,1270
Adolf Hitler,"Austrian-born German politician; chancellor and Führer of Germany; leader of the Nazi Party (1889-1945)",Male,Nazi Germany; Austria-Hungary; Weimar Republic; Republic of German-Austria; First Republic of Austria,Statesperson,1889,1945
Blanche of Castile,"Spanish princess and saint; queen consort of France",Female,Kingdom of Castile,Regent,1188,1252
Piet Kraak,Dutch footballer (1921-1984),Male,Kingdom of the Netherlands,Athlete,1921,1984
Augusto Pinochet,"General; politician of Chile (1915-2006)",Male,Chile,Politician,1915,2006
Yanka Kupala,Belarusian writer (1882-1942),Male,Byelorussian Soviet Socialist Republic; Russian Empire; Belarusian People's Republic,Artist,1882,1942
František Pláni�?ka,Czech association football player (1904-1996),Male,Czech Republic; Czechoslovakia,Athlete,1904,1996
Linda Lovelace,"American pornographic actress; later anti-porn activist",Female,United States of America,Artist,1949,2002
Bob Marley,"Jamaican singer; songwriter and musician",Male,Jamaica,Artist,1945,1981
Carl Sagan,"American astrophysicist; cosmologist author and science educator",Male,United States of America,Researcher,1934,1996
Salvador Allende,28th president of Chile (1908–1973),Male,Chile,Politician,1908,1973
Denis Diderot,French Enlightenment philosopher and encyclopædist,Male,France; Kingdom of France,Researcher,1713,1784
Georges Brassens,French singer-songwriter and poet,Male,France,Artist,1921,1981
Philipp Ludwig von Seidel,German mathematician,Male,German Empire; German Confederation,Researcher,1821,1896
Eduardo Frei Montalva,President of Chile (1911-1982),Male,Chile,Politician,1911,1982
Arthur Rimbaud,"19th century French poet who influenced modern literature and arts; and prefigured surrealism",Male,France, French Third Republic; Second French Empire,Artist,1854
